PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
134311722,Inactive,0
134311724,Inactive,0
134311726,Inactive,0
134311728,Inactive,0
134311732,Inactive,0
134311734,Active,100
134311746,Inactive,0
134311747,Inactive,0
134311748,Inactive,0
134311749,Active,100
134311750,Inactive,0
134311751,Active,100
134311752,Inactive,0
134311753,Inactive,0
134311756,Inactive,0
134311758,Inactive,0
134311762,Active,100
134311763,Inactive,0
134311765,Inactive,0
134311766,Inactive,0
134311767,Active,100
134311770,Inactive,0
134311772,Inactive,0
134311775,Inactive,0
134311778,Inactive,0
134311788,Inactive,0
134311789,Inactive,0
134311792,Active,100
134311798,Inactive,0
134311802,Inactive,0
134311804,Inactive,0
134311805,Inactive,0
134311806,Inactive,0
134311809,Inactive,0
134311811,Inactive,0
134311812,Inactive,0
134311814,Inactive,0
134311818,Inactive,0
134311819,Inactive,0
134311820,Inactive,0
134311821,Inactive,0
134311822,Active,100
134311823,Inactive,0
134311830,Inactive,0
134311833,Inactive,0
134311836,Inactive,0
134311838,Inactive,0
134311840,Inactive,0
134311844,Inactive,0
134311847,Inactive,0
134311849,Inactive,0
134311850,Inactive,0
134311851,Inactive,0
134311852,Inactive,0
134311858,Inactive,0
134311864,Inactive,0
134311865,Inactive,0
134311866,Inactive,0
134311867,Inactive,0
134311873,Active,100
134311884,Inactive,0
134311886,Active,100
134311887,Inactive,0
134311889,Inactive,0
134311890,Inactive,0
134311892,Inactive,0
134311893,Inactive,0
134311902,Inactive,0
134311904,Inactive,0
134311905,Inactive,0
134311913,Inactive,0
134311916,Inactive,0
134311922,Inactive,0
134311924,Inactive,0
134311927,Inactive,0
134311928,Inactive,0
134311929,Active,100
134311931,Active,100
134311932,Inactive,0
134311933,Inactive,0
134311936,Inactive,0
134311943,Inactive,0
134311950,Active,100
134311955,Inactive,0
134311958,Inactive,0
134311959,Inactive,0
134311961,Inactive,0
134311962,Inactive,0
134311964,Inactive,0
134311965,Inactive,0
134311968,Active,100
134311971,Inactive,0
134311973,Inactive,0
134311977,Inactive,0
134311979,Inactive,0
134311980,Inactive,0
134311981,Inactive,0
134311984,Inactive,0
134311986,Inactive,0
134311989,Inactive,0
134311991,Inactive,0
134311994,Inactive,0
134311995,Active,100
134312001,Inactive,0
134312002,Inactive,0
134312006,Inactive,0
134312007,Inactive,0
134312009,Inactive,0
134312013,Inactive,0
134312014,Inactive,0
134312018,Inactive,0
134312025,Inactive,0
134312033,Active,100
134312038,Inactive,0
134312039,Inactive,0
134312041,Inactive,0
134312042,Inactive,0
134312043,Inactive,0
134312044,Inactive,0
134312050,Inactive,0
134312051,Inactive,0
134312052,Inactive,0
134312055,Inactive,0
134312057,Inactive,0
134312062,Inactive,0
134312064,Inactive,0
134312066,Inactive,0
134312067,Inactive,0
134312069,Inactive,0
134312073,Inactive,0
134312081,Inactive,0
134312082,Inactive,0
134312083,Inactive,0
134312084,Inactive,0
134312085,Inactive,0
134312087,Inactive,0
134312088,Inactive,0
134312090,Inactive,0
134312093,Inactive,0
134312094,Active,100
134312095,Inactive,0
134312099,Inactive,0
134312100,Inactive,0
134312101,Inactive,0
134312105,Inactive,0
134312131,Inactive,0
134312136,Inactive,0
134312137,Inactive,0
134312141,Inactive,0
