PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
10736,135625232,,Inactive,0,,,TCEAL6,33.0888,33.8028,94.5887,97.8878,-0.472926,-0.51268,1074,1336,993.5,-0.313511,53.5382,48.9495,60.5387,1.73536,TCEAL6,158931,M-032779-00,NM_001006938,QDA103868,4,7,No
10737,135625233,,Inactive,0,,,C20orf134,41.1538,40.6183,94.8739,101.319,-0.406891,-0.433819,960,1086,927.5,0.387709,46.7708,50.003,65.5727,0.735694,C20orf134,170487,M-032781-01,NM_001024675,QDA103915,14,21,No
10738,135625234,,Inactive,0,,,CYS1,44.5502,38.6461,95.3755,115.277,-0.138209,-0.138332,1044,1126.5,949,0.762341,46.1686,52.3892,67.9261,0.394243,CYS1,192668,M-032782-01,NM_001037160,QDA104015,15,7,No
10739,135625235,,Inactive,0,,,EME2,31.9688,33.9085,94.9508,94.2796,-0.542378,-0.598661,961,1143.5,951,0.00616645,54.8387,65.945,74.7808,0.0806863,EME2,197342,M-032783-01,NM_001010865,QDA103952,15,11,No
10740,135625236,,Inactive,0,,,LOC198437,93.26,36.804,94.9573,253.396,2.52032,1.66477,670,1138.5,959.5,-2.19951,31.0448,49.9338,71.064,-1.24391,-,198437,M-032784-01,NM_001007125,QDA103944,14,9,No
10741,135625237,,Inactive,0,,,NUDT17,31.1329,36.484,94.2952,85.333,-0.714583,-0.826914,1009,1409.5,993,-1.08434,33.3003,48.0885,61.2497,-0.797296,NUDT17,200035,M-032785-01,NM_001012758,QDA103745,2,5,No
10742,135625238,,Active,100,,,HNRPUL2,16.0065,36.0002,94.9202,44.4622,-1.50127,-2.31937,1136,1060.5,948.5,2.02694,46.919,59.1218,70.3279,-0.159052,HNRPUL2,221092,M-032789-01,NM_001079559,QDA103891,9,4,Yes
10743,135625239,,Inactive,0,,,DEFB107A,30.1802,33.8028,94.5887,89.283,-0.638551,-0.723321,1235,1336,993.5,0.741649,48.3401,48.9495,60.5387,1.0651,DEFB107A,245910,M-032793-01,NM_001037668,QDA103868,2,13,No
10744,135625240,,Inactive,0,,,DEFB110,29.899,33.9208,94.4323,88.1436,-0.660484,-0.752726,927,1304,1015.5,-1.12783,36.4617,44.8517,59.5009,-0.0369911,DEFB110,245913,M-032794-00,NM_001037728,QDA103773,7,21,No
10745,135625241,,Inactive,0,,,DEFB111,32.7301,29.2368,94.7973,111.948,-0.202288,-0.205419,1229,1239,991,1.33291,59.4793,46.0401,63.6347,2.98607,DEFB111,245914,M-032795-01,NM_001037497,QDA103872,9,5,No
10746,135625242,,Inactive,0,,,DEFB112,36.1883,36.5438,94.5212,99.0271,-0.450998,-0.48619,1214,1115.5,950.5,2.17674,62.4382,63.8407,73.5051,1.00503,DEFB112,245915,M-032796-01,NM_001037498,QDA103972,9,5,No
10747,135625243,,Inactive,0,,,DEFB113,36.5142,36.5438,94.5212,99.9189,-0.433831,-0.465664,1151,1115.5,950.5,1.68223,55.1694,63.8407,73.5051,0.286387,DEFB113,245927,M-032797-01,NM_001037729,QDA103972,12,19,No
10748,135625244,,Inactive,0,,,DEFB114,21.8474,30.2078,93.5748,72.3237,-0.964986,-1.20559,1183,1272.5,991.5,0.787747,42.0964,44.1862,54.2151,0.845159,DEFB114,245928,M-032798-01,NM_001037499,QDA103737,4,4,No
10749,135625245,,Inactive,0,,,DEFB115,43.4921,36.484,94.2952,119.208,-0.0625439,-0.0615663,1081,1409.5,993,-0.637071,33.1175,48.0885,61.2497,-0.82129,DEFB115,245929,M-032799-01,NM_001037730,QDA103745,13,13,No
10750,135625246,,Inactive,0,,,DEFB116,27.6068,33.8028,94.5887,81.6702,-0.785083,-0.927349,1093,1336,993.5,-0.188989,36.0476,48.9495,60.5387,-0.519933,DEFB116,245930,M-032800-01,NM_001037731,QDA103868,10,16,No
10751,135625247,,Inactive,0,,,DEFB124,52.409,43.3453,94.8239,120.911,-0.0297813,-0.0291094,980,1104,982.5,0.420134,44.0816,55.319,68.2809,-0.13846,DEFB124,245937,M-032801-00,NM_001037500,QDA104007,13,22,No
10752,135625248,,Inactive,0,,,DEFB128,40.2281,36.484,94.2952,110.262,-0.234741,-0.24016,1205,1409.5,993,0.133221,37.8423,48.0885,61.2497,-0.201147,DEFB128,245939,M-032802-00,NM_001037732,QDA103745,10,8,No
